Ranking Category,Ranking Sub-Category,Rank,State
Ranking the States,Youth Ranking,01,District of Columbia
Ranking the States,Youth Ranking,02,Pennsylvania
Ranking the States,Youth Ranking,03,North Dakota
Ranking the States,Youth Ranking,4,Rhode Island
Ranking the States,Youth Ranking,05,Massachusetts
Ranking the States,Youth Ranking,06,Wisconsin
Ranking the States,Youth Ranking,07,Vermont
Ranking the States,Youth Ranking,08,New Hampshire
Ranking the States,Youth Ranking,09,Maryland
Ranking the States,Youth Ranking,10,New Jersey
Ranking the States,Youth Ranking,11,Delaware
Ranking the States,Youth Ranking,12,Iowa
Ranking the States,Youth Ranking,13,Connecticut
Ranking the States,Youth Ranking,14,New York
Ranking the States,Youth Ranking,15,Minnesota
Ranking the States,Youth Ranking,16,Kentucky
Ranking the States,Youth Ranking,17,Virginia
Ranking the States,Youth Ranking,18,Ohio
Ranking the States,Youth Ranking,19,Indiana
Ranking the States,Youth Ranking,20,Michigan
Ranking the States,Youth Ranking,21,Louisiana
Ranking the States,Youth Ranking,22,Maine
Ranking the States,Youth Ranking,23,Georgia
Ranking the States,Youth Ranking,24,South Dakota
Ranking the States,Youth Ranking,25,Hawaii
Ranking the States,Youth Ranking,26,Missouri
Ranking the States,Youth Ranking,27,Illinois
Ranking the States,Youth Ranking,28,Texas
Ranking the States,Youth Ranking,29,Mississippi
Ranking the States,Youth Ranking,30,Arizona
Ranking the States,Youth Ranking,31,Arkansas
Ranking the States,Youth Ranking,32,Alabama
Ranking the States,Youth Ranking,33,California
Ranking the States,Youth Ranking,34,Colorado
Ranking the States,Youth Ranking,35,Nebraska
Ranking the States,Youth Ranking,36,Florida
Ranking the States,Youth Ranking,37,Kansas
Ranking the States,Youth Ranking,38,Tennessee
Ranking the States,Youth Ranking,39,West Virginia
Ranking the States,Youth Ranking,40,Oklahoma
Ranking the States,Youth Ranking,41,Utah
Ranking the States,Youth Ranking,42,New Mexico
Ranking the States,Youth Ranking,43,Washington
Ranking the States,Youth Ranking,44,North Carolina
Ranking the States,Youth Ranking,45,Montana
Ranking the States,Youth Ranking,46,Idaho
Ranking the States,Youth Ranking,47,Oregon
Ranking the States,Youth Ranking,48,South Carolina
Ranking the States,Youth Ranking,49,Alaska
Ranking the States,Youth Ranking,50,Wyoming
Ranking the States,Youth Ranking,51,Nevada